City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
wellington,92,NZ,03/26/19,82,-41.29,174.78,68.0,28.86
albury,0,AU,03/26/19,55,-36.08,146.92,69.01,4.7
dickinson,1,US,03/26/19,81,46.88,-102.79,53.01,10.29
river falls,0,US,03/26/19,70,44.86,-92.63,48.2,6.93
kahului,40,US,03/26/19,48,20.89,-156.47,82.4,21.92
gongzhuling,76,CN,03/26/19,51,43.5,124.81,30.1,5.77
tual,68,ID,03/26/19,100,-5.67,132.75,81.58,10.47
barcelos,0,PT,03/26/19,18,41.53,-8.62,62.6,17.22
olavarria,12,AR,03/26/19,79,-36.89,-60.32,53.19,6.44
taoudenni,100,ML,03/26/19,87,22.68,-3.98,66.51,1.41
zastron,56,ZA,03/26/19,100,-30.3,27.08,47.38,2.98
gornopravdinsk,88,RU,03/26/19,86,60.06,69.92,32.8,8.57
kendari,56,ID,03/26/19,93,-3.99,122.52,79.06,3.65
creston,1,US,03/26/19,81,41.06,-94.36,53.6,8.05
qandala,0,SO,03/26/19,86,11.47,49.87,69.3,2.75
clyde river,1,CA,03/26/19,68,70.47,-68.59,-14.81,2.24
honiara,32,SB,03/26/19,82,-9.43,159.96,83.16,2.75
chernyshevskiy,20,RU,03/26/19,73,63.01,112.47,5.31,2.98
la rioja,92,AR,03/26/19,96,-29.41,-66.86,58.63,3.98
kakching,36,IN,03/26/19,86,24.5,93.98,58.95,2.19
pandan,80,PH,03/26/19,100,11.72,122.09,79.47,19.75
kuusamo,0,FI,03/26/19,84,65.96,29.19,-0.41,1.12
west wendover,1,US,03/26/19,33,40.74,-114.07,60.8,3.36
potsdam,0,DE,03/26/19,86,52.4,13.06,44.01,4.7
beoumi,0,CI,03/26/19,65,7.67,-5.58,82.4,4.7
anadyr,90,RU,03/26/19,92,64.73,177.51,30.2,31.32
atasu,76,KZ,03/26/19,88,48.68,71.64,36.99,2.98
sawtell,90,AU,03/26/19,77,-30.38,153.1,77.0,11.41
waingapu,36,ID,03/26/19,100,-9.65,120.26,76.59,3.98
deputatskiy,20,RU,03/26/19,74,69.3,139.9,-4.24,4.09
ignacio zaragoza,36,MX,03/26/19,27,28.57,-111.59,84.99,4.0
evensk,64,RU,03/26/19,100,61.92,159.24,17.41,13.27
kaduna,0,NG,03/26/19,38,10.52,7.44,69.61,6.55
okato,92,NZ,03/26/19,73,-39.19,173.88,71.01,15.99
sherlovaya gora,8,RU,03/26/19,55,50.53,116.31,10.3,3.09
bendigo,0,AU,03/26/19,49,-36.76,144.28,66.0,4.43
aswan,0,EG,03/26/19,23,24.09,32.9,60.8,5.82
belyy,8,RU,03/26/19,77,55.83,32.94,20.97,7.0
praia,0,BR,03/26/19,68,-20.25,-43.81,71.6,4.7
york,0,GB,03/26/19,76,53.96,-1.08,48.2,5.82
longyan,68,CN,03/26/19,94,25.1,117.03,57.6,2.53
havoysund,0,NO,03/26/19,63,71.0,24.66,26.6,21.92
alta floresta,64,BR,03/26/19,96,-9.87,-56.08,75.01,2.08
maniitsoq,0,GL,03/26/19,73,65.42,-52.9,9.63,9.24
toamasina,20,MG,03/26/19,94,-18.17,49.38,75.2,2.3
san joaquin,48,PH,03/26/19,86,10.59,122.14,77.8,9.69
novorzhev,44,RU,03/26/19,85,57.03,29.33,26.41,10.58
elko,1,US,03/26/19,21,40.83,-115.76,60.8,6.93
qiongshan,40,CN,03/26/19,94,20.01,110.35,75.2,2.24
basco,1,US,03/26/19,36,40.33,-91.2,48.99,4.65
miraflores,0,CO,03/26/19,88,5.2,-73.14,53.46,1.97
hearst,44,CA,03/26/19,58,49.69,-83.67,34.11,9.69
cabra,76,ES,03/26/19,81,37.47,-4.43,57.99,1.12
port hedland,75,AU,03/26/19,88,-20.31,118.58,82.4,5.82
silawit,88,PH,03/26/19,90,16.88,121.76,72.63,3.31
tecoanapa,5,MX,03/26/19,78,16.99,-99.26,80.6,6.93
hue,20,VN,03/26/19,78,16.47,107.58,80.6,1.12
sola,0,FI,03/26/19,85,62.78,29.36,18.0,5.82
dudinka,88,RU,03/26/19,93,69.41,86.18,29.43,25.79
thyboron,92,DK,03/26/19,3,56.7,8.21,45.0,1.99
yulara,0,AU,03/26/19,29,-25.24,130.99,75.2,12.75
changtu,20,CN,03/26/19,58,42.78,124.11,33.93,13.04
kampong chhnang,20,KH,03/26/19,98,12.25,104.67,73.48,4.65
juneau,75,US,03/26/19,37,58.3,-134.42,55.4,11.41
vao,0,EE,03/26/19,82,59.1,26.19,23.71,7.45
lasa,40,CY,03/26/19,81,34.92,32.53,51.8,8.05
qinhuangdao,0,CN,03/26/19,42,39.94,119.59,43.56,6.67
pangnirtung,36,CA,03/26/19,81,66.15,-65.72,-2.17,6.44
arman,68,RU,03/26/19,65,59.7,150.17,15.61,7.9
novoagansk,92,RU,03/26/19,92,61.94,76.66,33.48,9.24
peniche,0,PT,03/26/19,38,39.36,-9.38,66.99,5.82
kaoma,0,ZM,03/26/19,84,-14.8,24.8,66.06,2.64
lubango,80,AO,03/26/19,83,-14.92,13.49,66.06,1.97
ardakan,20,IR,03/26/19,33,32.31,54.02,62.6,9.17
ratnagiri,92,IN,03/26/19,100,16.98,73.3,78.84,5.32
la asuncion,88,EC,03/26/19,83,-1.64,-78.74,52.78,1.19
sandakan,75,MY,03/26/19,74,5.84,118.12,84.2,3.36
itaparica,75,BR,03/26/19,94,-12.89,-38.68,80.6,3.36
labuan,75,BN,03/26/19,83,5.28,115.24,84.2,1.12
gimli,12,CA,03/26/19,91,50.63,-96.99,36.0,8.99
porto novo,75,BR,03/26/19,83,-23.68,-45.44,71.6,6.93
ngerengere,8,TZ,03/26/19,89,-6.76,38.13,76.63,2.19
huarmey,0,PE,03/26/19,72,-10.07,-78.15,70.2,3.42
riyadh,0,SA,03/26/19,50,24.63,46.72,55.4,3.2
ola,44,RU,03/26/19,100,59.58,151.3,17.68,9.57
ahipara,88,NZ,03/26/19,69,-35.17,173.16,73.21,17.29
buala,68,SB,03/26/19,84,-8.15,159.59,85.59,5.66
santa marta,40,CO,03/26/19,65,11.24,-74.21,82.99,23.04
maraba,90,BR,03/26/19,94,-5.35,-49.1,77.0,3.36
thanjavur,0,IN,03/26/19,83,10.79,79.14,75.2,2.53
indramayu,56,ID,03/26/19,93,-4.05,103.78,69.75,1.74
rocha,44,UY,03/26/19,74,-34.48,-54.34,61.47,8.68
timmins,75,CA,03/26/19,17,48.48,-81.33,35.6,3.36
hualmay,8,PE,03/26/19,78,-11.1,-77.61,69.25,4.43
la ligua,90,CL,03/26/19,82,-32.45,-71.23,55.4,4.7
pittsburg,90,US,03/26/19,55,38.02,-121.89,66.99,8.05
presidente medici,20,BR,03/26/19,96,-11.18,-61.9,76.32,0.07
hede,88,SE,03/26/19,64,60.45,15.49,33.8,3.36
fortuna,0,ES,03/26/19,72,38.18,-1.13,57.2,5.82
dhidhdhoo,0,MV,03/26/19,100,6.88,73.1,84.42,3.98
paragould,1,US,03/26/19,56,36.06,-90.5,52.0,8.05
saint-joseph,0,FR,03/26/19,60,43.56,6.97,50.0,4.7
sambava,12,MG,03/26/19,100,-14.27,50.17,81.58,4.32
yarmouth,0,GB,03/26/19,70,50.71,-1.5,45.0,4.7
ponta delgada,20,PT,03/26/19,67,37.73,-25.67,57.2,16.11
zimmi,0,SL,03/26/19,85,7.31,-11.31,78.88,4.32
fare,64,PF,03/26/19,100,-16.7,-151.02,81.9,5.44
poselki,68,RU,03/26/19,88,53.13,46.5,30.96,6.67
vista hermosa,5,MX,03/26/19,69,14.92,-92.27,82.4,2.24
lazarev,48,RU,03/26/19,79,52.23,141.51,19.62,9.57
puerto carreno,40,CO,03/26/19,59,6.19,-67.49,89.6,2.64
imeni poliny osipenko,76,RU,03/26/19,67,52.42,136.49,17.46,3.76
egvekinot,76,RU,03/26/19,88,66.32,-179.17,26.82,16.4
